,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
250,141459,https://dadosabertos.camara.leg.br/api/v2/deputados/141459,João Maia,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RN,56,https://www.camara.leg.br/internet/deputado/bandep/141459.jpg,
251,112437,https://dadosabertos.camara.leg.br/api/v2/deputados/112437,João Marcelo Souza,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MA,56,https://www.camara.leg.br/internet/deputado/bandep/112437.jpg,
252,204576,https://dadosabertos.camara.leg.br/api/v2/deputados/204576,João Roma,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,BA,56,https://www.camara.leg.br/internet/deputado/bandep/204576.jpg,
253,178910,https://dadosabertos.camara.leg.br/api/v2/deputados/178910,Joaquim Passarinho,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,PA,56,https://www.camara.leg.br/internet/deputado/bandep/178910.jpg,
254,214865,https://dadosabertos.camara.leg.br/api/v2/deputados/214865,Joceval Rodrigues,CIDADANIA,https://dadosabertos.camara.leg.br/api/v2/partidos/37905,BA,56,https://www.camara.leg.br/internet/deputado/bandep/214865.jpg,
255,204468,https://dadosabertos.camara.leg.br/api/v2/deputados/204468,Joenia Wapichana,REDE,https://dadosabertos.camara.leg.br/api/v2/partidos/36886,RR,56,https://www.camara.leg.br/internet/deputado/bandep/204468.jpg,
256,204546,https://dadosabertos.camara.leg.br/api/v2/deputados/204546,Joice Hasselmann,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204546.jpg,
257,217480,https://dadosabertos.camara.leg.br/api/v2/deputados/217480,Jones Moura,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/217480.jpg,
258,205550,https://dadosabertos.camara.leg.br/api/v2/deputados/205550,Jorge Braz,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/205550.jpg,
259,178857,https://dadosabertos.camara.leg.br/api/v2/deputados/178857,Jorge Solla,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,56,https://www.camara.leg.br/internet/deputado/bandep/178857.jpg,
260,141464,https://dadosabertos.camara.leg.br/api/v2/deputados/141464,José Airton Félix Cirilo,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,CE,56,https://www.camara.leg.br/internet/deputado/bandep/141464.jpg,
261,141470,https://dadosabertos.camara.leg.br/api/v2/deputados/141470,José Guimarães,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,CE,56,https://www.camara.leg.br/internet/deputado/bandep/141470.jpg,
262,204386,https://dadosabertos.camara.leg.br/api/v2/deputados/204386,Jose Mario Schreiner,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,GO,56,https://www.camara.leg.br/internet/deputado/bandep/204386.jpg,
263,204472,https://dadosabertos.camara.leg.br/api/v2/deputados/204472,José Medeiros,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MT,56,https://www.camara.leg.br/internet/deputado/bandep/204472.jpg,
264,204391,https://dadosabertos.camara.leg.br/api/v2/deputados/204391,José Nelto,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,GO,56,https://www.camara.leg.br/internet/deputado/bandep/204391.jpg,
265,74079,https://dadosabertos.camara.leg.br/api/v2/deputados/74079,José Priante,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,PA,56,https://www.camara.leg.br/internet/deputado/bandep/74079.jpg,
266,204555,https://dadosabertos.camara.leg.br/api/v2/deputados/204555,José Ricardo,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,AM,56,https://www.camara.leg.br/internet/deputado/bandep/204555.jpg,
267,74554,https://dadosabertos.camara.leg.br/api/v2/deputados/74554,José Rocha,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,BA,56,https://www.camara.leg.br/internet/deputado/bandep/74554.jpg,
268,209189,https://dadosabertos.camara.leg.br/api/v2/deputados/209189,Joseildo Ramos,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,56,https://www.camara.leg.br/internet/deputado/bandep/209189.jpg,
